"","Year","State","Handle","Revenue","Hold","Taxes"
"178",2022,"New Hampshire",891727580,66714384,7.62,30969398
"179",2022,"New Jersey",10944593978,762954971,7.32,108721083
"180",2022,"New Mexico",NA,NA,NA,NA
"181",2022,"New York",16288073154,1359067098,8.5,693124220
"182",2022,"North Carolina",NA,NA,NA,NA
"183",2022,"North Dakota",NA,NA,NA,NA
"184",2022,"Ohio",NA,NA,NA,NA
"185",2022,"Oregon",NA,NA,NA,NA
"186",2022,"Pennsylvania",7251428758,597364960,8.37,144434920
"187",2022,"Rhode Island",532609814,49298062,9.3,25142012
"188",2022,"South Dakota",7192828,898981,12.25,80908
"189",2022,"Tennessee",3850547906,340264805,8.82,68052961
"190",2022,"Vermont",NA,NA,NA,NA
"191",2022,"Virginia",4914954449,345104567,7,51765685
"192",2022,"Washington",NA,NA,NA,NA
"193",2022,"Washington D.C.",216232122,23209854,10.68,6220861
"194",2022,"West Virginia",585819465,51704386,9.03,4394873
"195",2022,"Wyoming",144522130,14787230,10.1,843171
"196",2023,"Arizona",6573800272,348185390,5.47,34818539
"197",2023,"Arkansas",NA,103188842,NA,13414549
"198",2023,"Colorado",5560232285,391946267,7.15,27423432
"199",2023,"Connecticut",1763017692,131142055,7.54,18032034
"200",2023,"Delaware",65326809,10003849,13.14,7450356
"201",2023,"Florida",NA,NA,NA,NA
"202",2023,"Illinois",11620474009,1535383261,13.37,162149629
"203",2023,"Indiana",4337817508,404363766,9.5,38417065
"204",2023,"Iowa",2423988443,198810523,8.31,13419710
"205",2023,"Kansas",2121564412,182415461,8.83,10036471
"206",2023,"Kentucky",885464502,109824864,10.92,12776632
"207",2023,"Louisiana",2905138040,289778947,9.86,43466842
"208",2023,"Maine",82091923,9020360,11.09,902036
"209",2023,"Maryland",4617323134,514081188,11.19,46165906
"210",2023,"Massachusetts",4967511977,483666398,8.47,93875096
"211",2023,"Michigan",4810903877,434438031,9.23,36492795
"212",2023,"Mississippi",474275130,51224141,11.18,5634656
"213",2023,"Missouri",NA,NA,NA,NA
"214",2023,"Montana",62258820,8446611,13.66,717962
"215",2023,"Nebraska",NA,1779458,NA,355892
"216",2023,"Nevada",8261046989,481393000,5.66,32494028
"217",2023,"New Hampshire",821707403,80288654,9.96,35572290
"218",2023,"New Jersey",11972320289,1006681602,8.87,143452128
"219",2023,"New Mexico",NA,NA,NA,NA
"220",2023,"New York",19196867477,1689883800,8.94,861840738
"221",2023,"North Carolina",NA,NA,NA,NA
"222",2023,"North Dakota",NA,NA,NA,NA
"223",2023,"Ohio",7660346389,935585152,11.81,187117030
"224",2023,"Oregon",213069000,21429000,10.04,1714320
"225",2023,"Pennsylvania",7682694849,686915514,9.17,165133458
"226",2023,"Rhode Island",461283426,40277816,8.73,20541686
"227",2023,"South Dakota",9034691,1028440,9.9,92560
"228",2023,"Tennessee",4292352235,417787565,9.82,83557513
"229",2023,"Vermont",NA,NA,NA,NA
"230",2023,"Virginia",5590022862,481978027,8.69,72296704
"231",2023,"Washington",NA,NA,NA,NA
"232",2023,"Washington D.C.",169771690,19048327,11.6,5428128
"233",2023,"West Virginia",372215086,34268729,9.46,2928026
"234",2023,"Wyoming",172247302,17293948,10.17,1062680
"235",2024,"Arizona",7959647194,427397087,5.53,42739709
"236",2024,"Arkansas",NA,107275202,NA,13945776
"237",2024,"Colorado",6187564044,475176731,7.87,31934112
"238",2024,"Connecticut",2188745557,187349516,8.67,25760559
"239",2024,"Delaware",216240459,14585100,6.99,8474813
"240",2024,"Florida",NA,NA,NA,NA
"241",2024,"Illinois",14016684933,1866642282,13.52,280390692
"242",2024,"Indiana",5212332663,484278308,9.48,46245605
"243",2024,"Iowa",2770339580,218482781,8.07,14747588
"244",2024,"Kansas",2503492581,145263244,5.96,13873150
"245",2024,"Kentucky",2626962943,272086697,10.43,38621515
"246",2024,"Louisiana",3699647883,461224426,12.35,66014538
"247",2024,"Maine",523013468,55388488,10.68,5538849
"248",2024,"Maryland",5940586770,629812059,10.81,82294051
"249",2024,"Massachusetts",7401117705,670694019,8.91,130196306
"250",2024,"Michigan",5511011493,481495654,9.17,40445635
"251",2024,"Mississippi",452409770,43344188,9.92,4767861
"252",2024,"Missouri",NA,NA,NA,NA
"253",2024,"Montana",66469999,7186894,11.46,610886
"254",2024,"Nebraska",NA,4639250,NA,927850
"255",2024,"Nevada",7897081590,482121000,6.15,32543168
"256",2024,"New Hampshire",793382689,78996303,9.82,34840123
"257",2024,"New Jersey",12774039219,1094630610,8.7,155984862
"258",2024,"New Mexico",NA,NA,NA,NA
"259",2024,"New York",22952968709,2059297238,9.06,1050241591
"260",2024,"North Carolina",5420790466,583645811,10.76,105056250
"261",2024,"North Dakota",NA,NA,NA,NA
"262",2024,"Ohio",8880965221,904187897,10.25,180837579
"263",2024,"Oregon",837222000,80932000,9.74,6474560
"264",2024,"Pennsylvania",8421417830,778420570,9.4,183859072
"265",2024,"Rhode Island",483686264,38051914,8.02,19406476
"266",2024,"South Dakota",9236714,920918,10.18,82883
"267",2024,"Tennessee",5271379978,485802815,9.22,97160563
"268",2024,"Vermont",198754297,27347988,13.96,8669312
"269",2024,"Virginia",6925832328,615044067,9.01,92256610
"270",2024,"Washington",NA,NA,NA,NA
"271",2024,"Washington D.C.",461560894,53717642,11.81,16317108
"272",2024,"West Virginia",592642728,65866101,11.21,5592747
"273",2024,"Wyoming",209605809,22810652,11.33,1405866
