ID,State,Year,Revenue,longitude,latitude
maine,Maine,2018,NA,-69.23425350998068,45.40708070618306
maryland,Maryland,2018,NA,-76.81448593581234,39.050369882562286
massachusetts,Massachusetts,2018,NA,-71.82097940602183,42.25818280715043
michigan,Michigan,2018,NA,-85.43516121593377,44.33152449457573
mississippi,Mississippi,2018,15175668,-89.6704742748726,32.757672304048896
missouri,Missouri,2018,NA,-92.48330566387827,38.37653509207976
montana,Montana,2018,NA,-109.64394102565744,47.03273852183194
nebraska,Nebraska,2018,NA,-99.81265319257986,41.52550200485405
nevada,Nevada,2018,NA,-116.65796942772279,39.364137559664506
new hampshire,New Hampshire,2018,NA,-71.57549052694715,43.687535586639356
new jersey,New Jersey,2018,94022393,-74.6669684549282,40.19374100903226
new mexico,New Mexico,2018,NA,-106.1121305120958,34.41656191159888
new york,New York,2018,NA,-75.51535131144877,42.95072426646233
north carolina,North Carolina,2018,NA,-79.39770602182838,35.54653590496998
north dakota,North Dakota,2018,NA,-100.46905945393456,47.44577277642056
ohio,Ohio,2018,NA,-82.7971819537273,40.304126629547866
oregon,Oregon,2018,NA,-120.5283522497702,43.93953319548708
pennsylvania,Pennsylvania,2018,2516589,-77.80132599818259,40.877364490490194
rhode island,Rhode Island,2018,1030910,-71.52877964130909,41.683644626288476
south dakota,South Dakota,2018,NA,-100.2197336169629,44.43192144514131
tennessee,Tennessee,2018,NA,-86.33578242967911,35.84450970469765
vermont,Vermont,2018,NA,-72.66686003160213,44.077587227788996
virginia,Virginia,2018,NA,-78.84037603406514,37.518280076316486
washington,Washington,2018,NA,-120.40606934803893,47.37503759512784
west virginia,West Virginia,2018,NA,-80.62365356336151,38.646186689615014
wyoming,Wyoming,2018,NA,-107.55736087934403,43.00390475679936
alabama,NA,NA,NA,-86.83042392038293,32.803164176253794
california,NA,NA,NA,-119.60153706813276,37.26901035501705
district of columbia,NA,NA,NA,-77.03409920378279,38.91078737046958
georgia,NA,NA,NA,-83.45852913644349,32.6516530242598
idaho,NA,NA,NA,-114.65668603606002,44.39021838533833
minnesota,NA,NA,NA,-94.29402268316207,46.32879631833649
oklahoma,NA,NA,NA,-97.52313296900522,35.59115091530716
south carolina,NA,NA,NA,-80.90505935080323,33.92244289455517
texas,NA,NA,NA,-99.37250068167576,31.505351034241777
utah,NA,NA,NA,-111.6787719370019,39.32365254899237
wisconsin,NA,NA,NA,-90.0117079633965,44.63285282118125
