"","State","Revenue","Handle","Taxes","Hold","total_pop","median_income","pct_bachelors","pct_age_20_34","pct_urban","pct_rural","pct_poverty","pct_male","unemployment_rate","pct_white","pct_black","pct_asian","pct_hispanic","median_age","pct_broadband","gini","pct_rent","pct_own"
"18","New Hampshire",78996303,793382689,34840123,9.82,1409032,99782,0.415183495739546,0.0590994384797506,0.58323273049061,0.41676726950939,0.0720480827198159,0.498349931016471,0.0277651411761138,0.875592605419891,0.0150975989189742,0.0268602842234953,0.0503267491440932,43.6,0.952907800921342,0.4478,0.274307021863046,0.725692978136954
"19","New Jersey",1094630610,12774039219,155984862,8.7,9500851,104294,0.445471055584514,0.0608091843562224,0.937537369493403,0.0624626305065974,0.0919579936363791,0.492335581307401,0.0540641655211337,0.523362275652992,0.129011390663847,0.106650235857819,0.234659400510544,40.1,0.947985916256013,0.4714,0.360932339788665,0.639067660211335
"20","New York",2059297238,22952968709,1050241591,9.06,19867248,85820,0.412171481253667,0.063898432233795,0.874459099038876,0.125540900961124,0.139713023104673,0.488472786970797,0.0532224787334596,0.543302977845749,0.142351220460931,0.0953252810857347,0.202307234499715,40.1,0.930986600279967,0.5186,0.456753857973238,0.543246142026762
"21","North Carolina",583645811,5420790466,105056250,10.76,11046024,73958,0.3714008463981,0.0679254363379982,0.667158553738974,0.332841446261026,0.125482468770931,0.488503103016977,0.0398859125290051,0.608377548337755,0.19820045656247,0.036272146430245,0.119913735476222,39.4,0.931755449242376,0.4782,0.331745307703411,0.668254692296589
"22","Ohio",904187897,8880965221,180837579,10.25,11883304,72212,0.323511778910522,0.0635758371577467,0.762840685428674,0.237159314571326,0.126727480447225,0.493750643760355,0.0399115488848837,0.759880501247801,0.121569051839455,0.0276200120774492,0.0510744318246844,39.8,0.92223088692522,0.4631,0.320025350342299,0.679974649657701
"23","Oregon",80932000,837222000,6474560,9.74,4272371,85220,0.37843202149271,0.060791068940408,0.804998329107328,0.195001670892672,0.117864210641138,0.498132535774632,0.0485402225105556,0.734844422453013,0.0193747219050031,0.0494404629185995,0.155122296261256,40.8,0.936693860468849,0.4557,0.368844846268066,0.631155153731934
"24","Pennsylvania",778420570,8421417830,183859072,9.4,13078751,77545,0.36366766303072,0.0623834798903963,0.764538903458512,0.235461096541488,0.115776120959588,0.493085463588993,0.0434524202407709,0.734955654404614,0.105373058941179,0.0417672910815413,0.0942457731628961,41.2,0.921034540382907,0.4747,0.307320555851066,0.692679444148934
"25","Rhode Island",38051914,483686264,19406476,8.02,1112308,83504,0.390030988495364,0.0682454859625212,0.910524987265111,0.0894750127348892,0.121662252898198,0.492103805780413,0.0504146442616152,0.685385702521244,0.0555277854694923,0.037539062921421,0.187876019951308,41,0.934374707239058,0.4717,0.365006535539505,0.634993464460495
"26","South Dakota",920918,9236714,82883,10.18,924669,76881,0.341816729130301,0.0631555724264575,0.572195649550508,0.427804350449492,0.104119014847832,0.513655156601984,0.0280759936503443,0.799277363034772,0.0202775263364512,0.0170612402924722,0.0486087453997052,38.7,0.912762684997724,0.4433,0.317089630710799,0.682910369289201
"27","Tennessee",485802815,5271379978,97160563,9.22,7227750,71997,0.324173961354997,0.0664354743869116,0.662333667108485,0.337666332891515,0.134601236749816,0.490458303068036,0.0422699141984561,0.719591020718758,0.149972121337899,0.0201935595448099,0.0784253744249594,39.1,0.924921596645685,0.4747,0.331798898170389,0.668201101829611
"28","Vermont",27347988,198754297,8669312,13.96,648493,82730,0.450961005339973,0.0639451775115537,0.351202111100226,0.648797888899774,0.0901593965906218,0.493709261318164,0.026674037344769,0.901058299781185,0.00967782227410319,0.0205753955709622,0.0268329804639372,43.9,0.927462283048734,0.4551,0.267664280611316,0.732335719388684
"29","Virginia",615044067,6925832328,92256610,9.01,8811195,92090,0.433413470819071,0.065838288677075,0.756345238827615,0.243654761172385,0.097491173585548,0.494443829696199,0.0362029127996683,0.592939209721269,0.182211947414624,0.0717537178555236,0.115515886324159,39.4,0.928074247957633,0.4691,0.328775896143776,0.671224103856224
"30","Washington D.C.",53717642,461560894,16317108,11.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","West Virginia",65866101,592642728,5592747,11.21,1769979,60798,0.243779996516089,0.0613086369951282,0.44647926427595,0.55352073572405,0.167361240006024,0.498035287424314,0.0463449154165496,0.893952979103142,0.0321749580079764,0.0070627956602875,0.0231652465933212,42.9,0.893993304897144,0.4668,0.244890934614762,0.755109065385238
"32","Wyoming",22810652,209605809,1405866,11.33,587618,75532,0.322833606941839,0.0633864177067415,0.62017748083994,0.37982251916006,0.10095231141522,0.512780411764105,0.0342795476633934,0.833027579141551,0.00782651314289215,0.0099009900990099,0.110667134090515,40.2,0.899223142624147,0.4609,0.2832973713269,0.7167026286731
